customer_id,date,segment,churn_risk,support_interactions,response_time_hours
1000,2026-08-13,Enterprise,High,5,12.5
1001,2026-08-13,SMB,Low,1,1.2
1002,2026-08-13,Enterprise,High,3,4.5
1003,2026-08-13,SMB,Low,0,0.0
1004,2026-08-13,Enterprise,High,8,24.1
1005,2026-08-13,SMB,Low,5,12.5
1006,2026-08-13,Enterprise,High,1,1.2
1007,2026-08-13,SMB,Low,3,4.5
1008,2026-08-13,Enterprise,High,0,0.0
1009,2026-08-13,SMB,Low,8,24.1
1010,2026-08-13,Enterprise,High,5,12.5
1011,2026-08-13,SMB,Low,1,1.2
1012,2026-08-13,Enterprise,High,3,4.5
1013,2026-08-13,SMB,Low,0,0.0
1014,2026-08-13,Enterprise,High,8,24.1
1015,2026-08-13,SMB,Low,5,12.5
1016,2026-08-13,Enterprise,High,1,1.2
1017,2026-08-13,SMB,Low,3,4.5
1018,2026-08-13,Enterprise,High,0,0.0
1019,2026-08-13,SMB,Low,8,24.1
1020,2026-08-13,Enterprise,High,5,12.5
1021,2026-08-13,SMB,Low,1,1.2
1022,2026-08-13,Enterprise,High,3,4.5
1023,2026-08-13,SMB,Low,0,0.0
1024,2026-08-13,Enterprise,High,8,24.1
1025,2026-08-13,SMB,Low,5,12.5
1026,2026-08-13,Enterprise,High,1,1.2
1027,2026-08-13,SMB,Low,3,4.5
1028,2026-08-13,Enterprise,High,0,0.0
1029,2026-08-13,SMB,Low,8,24.1
1030,2026-08-13,Enterprise,High,5,12.5
1031,2026-08-13,SMB,Low,1,1.2
1032,2026-08-13,Enterprise,High,3,4.5
1033,2026-08-13,SMB,Low,0,0.0
1034,2026-08-13,Enterprise,High,8,24.1
1035,2026-08-13,SMB,Low,5,12.5
1036,2026-08-13,Enterprise,High,1,1.2
1037,2026-08-13,SMB,Low,3,4.5
1038,2026-08-13,Enterprise,High,0,0.0
1039,2026-08-13,SMB,Low,8,24.1
1040,2026-08-13,Enterprise,High,5,12.5
1041,2026-08-13,SMB,Low,1,1.2
1042,2026-08-13,Enterprise,High,3,4.5
1043,2026-08-13,SMB,Low,0,0.0
1044,2026-08-13,Enterprise,High,8,24.1
1045,2026-08-13,SMB,Low,5,12.5
1046,2026-08-13,Enterprise,High,1,1.2
1047,2026-08-13,SMB,Low,3,4.5
1048,2026-08-13,Enterprise,High,0,0.0
1049,2026-08-13,SMB,Low,8,24.1
